StimuliName,User_OldOrNew,Correct_OldOrNew,Correct_Image_x,Correct_Image_y,Correct_Color,Correct_Rad#,Correct_AproxColor,OldOrNew_RT,StudyStartTime,OldOrNewStartTime,participant,date,expName,psychopyVersion,frameRate,
231,New,New,N/A,N/A,N/A,N/A,N/A,2.42,N/A,12:31:53.966470,003,2019_Jul_31_1225,PACOLOCO,3.1.5,59.79826004645498,
152,Old,Old,0.43333,-0.234,214.2,59,"['Aqua', 'Blue']",1.42,12:31:19.642973,12:31:57.885832,003,2019_Jul_31_1225,PACOLOCO,3.1.5,59.79826004645498,
117,Old,Old,0.60667,-0.078,297.0,82,['Pink'],1.55,12:30:59.645177,12:32:00.805333,003,2019_Jul_31_1225,PACOLOCO,3.1.5,59.79826004645498,
181,Old,Old,0.43333,0.234,63.0,17,"['Yellow', 'Green']",2.0,12:29:39.636093,12:32:03.856966,003,2019_Jul_31_1225,PACOLOCO,3.1.5,59.79826004645498,
19,New,New,N/A,N/A,N/A,N/A,N/A,1.45,N/A,12:32:07.359393,003,2019_Jul_31_1225,PACOLOCO,3.1.5,59.79826004645498,
165,Old,Old,-0.43333,0.39,286.2,79,"['Purple', 'Pink']",1.4,12:29:29.646882,12:32:10.312381,003,2019_Jul_31_1225,PACOLOCO,3.1.5,59.79826004645498,
174,Old,Old,-0.60667,0.234,106.2,29,['Green'],2.57,12:28:54.638178,12:32:13.213786,003,2019_Jul_31_1225,PACOLOCO,3.1.5,59.79826004645498,
224,Old,Old,-0.78,0.078,289.8,80,"['Purple', 'Pink']",1.35,12:29:49.644704,12:32:17.283946,003,2019_Jul_31_1225,PACOLOCO,3.1.5,59.79826004645498,
119,Old,Old,-0.08667,-0.234,271.8,75,['Purple'],1.38,12:31:44.644694,12:32:20.136117,003,2019_Jul_31_1225,PACOLOCO,3.1.5,59.79826004645498,
203,Old,Old,0.08667,0.39,41.4,11,['Yellow'],1.47,12:27:44.636682,12:32:23.020370,003,2019_Jul_31_1225,PACOLOCO,3.1.5,59.79826004645498,
26,Old,Old,0.78,-0.078,300.6,83,['Pink'],1.42,12:31:39.640761,12:32:25.990380,003,2019_Jul_31_1225,PACOLOCO,3.1.5,59.79826004645498,
206,Old,Old,0.78,-0.39,167.4,46,['Aqua'],1.75,12:29:19.639576,12:32:28.908152,003,2019_Jul_31_1225,PACOLOCO,3.1.5,59.79826004645498,
123,Old,Old,-0.78,-0.234,5.4,1,"['Red', 'Orange']",1.52,12:30:54.641723,12:32:32.160898,003,2019_Jul_31_1225,PACOLOCO,3.1.5,59.79826004645498,
