StimuliName,User_OldOrNew,Correct_OldOrNew,Correct_Color,Correct_Rad#,Correct_AproxColor,OldOrNew_RT,StudyStartTime,OldOrNewStartTime,participant,date,expName,psychopyVersion,frameRate,
163,Old,Old,131.4,36,['Green'],1.1,13:57:29.104169,13:58:50.763413,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
202,Old,Old,181.8,50,"['Aqua', 'Blue']",0.8,13:55:14.111009,13:58:53.366070,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
168,Old,Old,358.2,99,"['Red', 'Orange']",1.43,13:55:39.107814,13:58:55.666920,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
49,Old,Old,185.4,51,"['Aqua', 'Blue']",1.18,13:55:34.104291,13:58:58.603298,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
181,Old,Old,282.6,78,"['Purple', 'Pink']",0.97,13:56:59.099160,13:59:01.289675,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
39,Old,Old,63.0,17,"['Yellow', 'Green']",0.85,13:56:44.104820,13:59:03.756569,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
43,New,New,N/A,N/A,N/A,1.52,N/A,13:59:06.107488,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
26,New,Old,217.8,60,"['Aqua', 'Blue']",0.99,13:58:09.099814,13:59:09.126893,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
76,Old,Old,261.0,72,"['Blue', 'Purple']",0.72,13:57:19.113714,13:59:11.613909,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
166,Old,Old,23.4,6,"['Orange', 'Yellow']",0.84,13:55:24.113692,13:59:13.830236,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
55,Old,Old,196.2,54,"['Aqua', 'Blue']",2.09,13:57:24.100416,13:59:16.164845,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
232,New,New,N/A,N/A,N/A,1.07,N/A,13:59:19.751651,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
84,Old,Old,279.0,77,"['Purple', 'Pink']",0.81,13:54:49.105636,13:59:22.320190,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
66,New,New,N/A,N/A,N/A,1.1,N/A,13:59:24.625767,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
33,New,New,N/A,N/A,N/A,1.64,N/A,13:59:27.223897,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
11,Old,Old,5.4,1,"['Red', 'Orange']",0.9,13:55:29.101145,13:59:30.358858,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
56,Old,Old,48.6,13,['Yellow'],0.77,13:55:09.102754,13:59:32.761323,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
205,Old,New,N/A,N/A,N/A,1.37,N/A,13:59:35.029509,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
126,Old,New,N/A,N/A,N/A,1.27,N/A,13:59:37.898665,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
51,Old,Old,318.6,88,['Pink'],0.99,13:55:59.105688,13:59:40.665915,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
141,Old,New,N/A,N/A,N/A,1.29,N/A,13:59:43.152119,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
74,Old,Old,124.2,34,['Green'],1.02,13:58:44.108846,13:59:45.936894,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
145,Old,Old,271.8,75,['Purple'],1.0,13:57:59.109681,13:59:48.455866,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
218,Old,Old,70.2,19,"['Yellow', 'Green']",0.99,13:56:29.110674,13:59:50.956457,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
40,Old,Old,55.8,15,['Yellow'],0.8,13:56:49.109367,13:59:53.442968,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
91,Old,Old,99.0,27,['Green'],0.87,13:54:44.101574,13:59:55.743555,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
149,New,New,N/A,N/A,N/A,0.9,N/A,13:59:58.113038,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
242,Old,New,N/A,N/A,N/A,1.12,N/A,14:00:00.514315,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
116,Old,Old,192.6,53,"['Aqua', 'Blue']",0.9,13:57:14.109943,14:00:03.133535,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
241,New,New,N/A,N/A,N/A,1.62,N/A,14:00:05.534571,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
115,Old,Old,246.6,68,['Blue'],0.87,13:58:39.104901,14:00:08.653380,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
140,Old,Old,289.8,80,"['Purple', 'Pink']",1.07,13:58:34.101781,14:00:11.021205,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
101,New,New,N/A,N/A,N/A,0.85,N/A,14:00:13.591053,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
217,Old,Old,253.8,70,['Blue'],0.89,13:54:54.108804,14:00:15.941818,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
106,Old,Old,59.4,16,"['Yellow', 'Green']",1.12,13:57:09.106671,14:00:18.327620,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
72,New,New,N/A,N/A,N/A,0.99,N/A,14:00:20.944958,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
204,Old,Old,268.2,74,"['Blue', 'Purple']",0.97,13:57:04.103199,14:00:23.430822,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
79,Old,Old,9.0,2,"['Red', 'Orange']",0.9,13:56:19.103842,14:00:25.898517,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
198,New,New,N/A,N/A,N/A,1.12,N/A,14:00:28.301447,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
214,Old,Old,250.2,69,['Blue'],0.82,13:58:29.097726,14:00:30.919518,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
206,New,New,N/A,N/A,N/A,0.83,N/A,14:00:33.237832,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
102,Old,Old,235.8,65,['Blue'],0.97,13:55:19.109935,14:00:35.572310,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
64,New,Old,333.0,92,['Pink'],1.07,13:58:14.103433,14:00:38.041962,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
173,Old,Old,221.4,61,"['Aqua', 'Blue']",2.34,13:55:54.102196,14:00:40.609684,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
192,Old,Old,228.6,63,['Blue'],1.03,13:56:09.112919,14:00:44.446544,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
234,Old,Old,307.8,85,['Pink'],0.95,13:57:54.105595,14:00:46.982883,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
152,Old,Old,16.2,4,"['Red', 'Orange']",0.9,13:56:39.101526,14:00:49.432843,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
189,Old,Old,73.8,20,"['Yellow', 'Green']",1.15,13:57:44.098645,14:00:51.836357,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
150,Old,Old,145.8,40,"['Green', 'Aqua']",0.95,13:56:24.107611,14:00:54.491664,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
83,Old,New,N/A,N/A,N/A,1.48,N/A,14:00:56.939899,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
117,Old,Old,325.8,90,['Pink'],2.24,13:55:49.115008,14:00:59.924582,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
17,Old,Old,239.4,66,['Blue'],1.5,13:57:49.102777,14:01:03.660631,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
41,Old,Old,135.0,37,"['Green', 'Aqua']",0.85,13:56:54.112246,14:01:06.663636,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
112,Old,Old,275.4,76,['Purple'],1.15,13:55:04.099792,14:01:09.014243,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
127,Old,Old,113.4,31,['Green'],2.2,13:58:19.107748,14:01:11.667433,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
85,New,New,N/A,N/A,N/A,0.92,N/A,14:01:15.368090,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
120,New,Old,19.8,5,"['Red', 'Orange']",1.13,13:58:24.111436,14:01:17.787389,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
13,New,New,N/A,N/A,N/A,1.22,N/A,14:01:20.421620,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
219,New,New,N/A,N/A,N/A,0.78,N/A,14:01:23.141247,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
75,Old,Old,174.6,48,['Aqua'],1.17,13:56:34.114894,14:01:25.425400,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
211,Old,Old,171.0,47,['Aqua'],0.68,13:54:59.113066,14:01:28.094753,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
142,Old,Old,30.6,8,"['Orange', 'Yellow']",0.85,13:54:39.098212,14:01:30.279087,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
73,Old,Old,232.2,64,['Blue'],3.1,13:56:14.099873,14:01:32.631613,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
45,New,New,N/A,N/A,N/A,1.35,N/A,14:01:37.234416,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
174,New,New,N/A,N/A,N/A,1.15,N/A,14:01:40.086155,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
88,Old,New,N/A,N/A,N/A,0.94,N/A,14:01:42.738497,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
134,Old,Old,178.2,49,['Aqua'],0.78,13:58:04.112683,14:01:45.173351,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
227,Old,Old,343.8,95,"['Red', 'Pink']",0.62,13:56:04.109228,14:01:47.458913,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
28,New,New,N/A,N/A,N/A,0.93,N/A,14:01:49.576958,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
19,Old,Old,257.4,71,['Blue'],0.78,13:55:44.112133,14:01:52.013304,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
18,New,New,N/A,N/A,N/A,1.0,N/A,14:01:54.296540,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
97,Old,Old,214.2,59,"['Aqua', 'Blue']",0.73,13:57:34.108280,14:01:56.800121,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
77,New,New,N/A,N/A,N/A,0.78,N/A,14:01:59.033236,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
107,New,New,N/A,N/A,N/A,1.24,N/A,14:02:01.317445,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
207,Old,Old,189.0,52,"['Aqua', 'Blue']",0.67,13:57:39.111974,14:02:04.054136,012,2019_Aug_07_1353,PACOCO,3.1.5,60.077284740176594,
