StimuliName,User_OldOrNew,Correct_OldOrNew,Correct_Image_x,Correct_Image_y,OldOrNew_RT,StudyStartTime,OldOrNewStartTime,participant,date,expName,psychopyVersion,frameRate,
186,Old,Old,0.43333,-0.234,1.37,15:49:34.806700,15:52:44.894687,013,2019_Aug_07_1547,PACOLO,3.1.5,59.99682521134181,
147,Old,Old,0.60667,0.078,0.98,15:49:14.808268,15:52:47.763572,013,2019_Aug_07_1547,PACOLO,3.1.5,59.99682521134181,
26,Old,Old,-0.78,-0.39,0.79,15:48:49.806676,15:52:50.248154,013,2019_Aug_07_1547,PACOLO,3.1.5,59.99682521134181,
195,Old,Old,-0.78,0.078,0.87,15:50:29.795702,15:52:52.533803,013,2019_Aug_07_1547,PACOLO,3.1.5,59.99682521134181,
66,Old,Old,-0.60667,0.234,0.8,15:49:39.793668,15:52:54.901743,013,2019_Aug_07_1547,PACOLO,3.1.5,59.99682521134181,
212,Old,Old,-0.78,-0.234,0.8,15:49:24.799198,15:52:57.203894,013,2019_Aug_07_1547,PACOLO,3.1.5,59.99682521134181,
190,New,New,N/A,N/A,1.28,N/A,15:52:59.505597,013,2019_Aug_07_1547,PACOLO,3.1.5,59.99682521134181,
242,New,New,N/A,N/A,1.14,N/A,15:53:02.290837,013,2019_Aug_07_1547,PACOLO,3.1.5,59.99682521134181,
229,Old,Old,-0.60667,-0.39,0.78,15:50:34.799958,15:53:04.925962,013,2019_Aug_07_1547,PACOLO,3.1.5,59.99682521134181,
39,New,New,N/A,N/A,1.1,N/A,15:53:07.211196,013,2019_Aug_07_1547,PACOLO,3.1.5,59.99682521134181,
70,Old,Old,-0.60667,-0.078,0.92,15:48:29.793099,15:53:09.812587,013,2019_Aug_07_1547,PACOLO,3.1.5,59.99682521134181,
16,New,New,N/A,N/A,1.52,N/A,15:53:12.231481,013,2019_Aug_07_1547,PACOLO,3.1.5,59.99682521134181,
4,New,New,N/A,N/A,1.4,N/A,15:53:15.249605,013,2019_Aug_07_1547,PACOLO,3.1.5,59.99682521134181,
74,Old,Old,-0.60667,-0.234,0.69,15:52:14.806201,15:53:18.152442,013,2019_Aug_07_1547,PACOLO,3.1.5,59.99682521134181,
49,Old,Old,0.60667,-0.39,0.74,15:48:59.797854,15:53:20.336475,013,2019_Aug_07_1547,PACOLO,3.1.5,59.99682521134181,
23,New,New,N/A,N/A,1.15,N/A,15:53:22.572337,013,2019_Aug_07_1547,PACOLO,3.1.5,59.99682521134181,
215,Old,Old,-0.26,0.39,0.75,15:52:04.798155,15:53:25.223067,013,2019_Aug_07_1547,PACOLO,3.1.5,59.99682521134181,
183,Old,Old,0.43333,-0.39,0.97,15:50:14.802310,15:53:27.475972,013,2019_Aug_07_1547,PACOLO,3.1.5,59.99682521134181,
57,New,New,N/A,N/A,1.08,N/A,15:53:29.943905,013,2019_Aug_07_1547,PACOLO,3.1.5,59.99682521134181,
127,New,New,N/A,N/A,1.07,N/A,15:53:32.529417,013,2019_Aug_07_1547,PACOLO,3.1.5,59.99682521134181,
