StimuliName,User_OldOrNew,Correct_OldOrNew,Correct_Color,Correct_Rad#,Correct_AproxColor,OldOrNew_RT,StudyStartTime,OldOrNewStartTime,participant,date,expName,psychopyVersion,frameRate,
192,Old,Old,127.8,35,['Green'],0.88,16:05:21.357839,16:06:53.275750,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
88,Old,Old,300.6,83,['Pink'],0.79,16:06:01.353455,16:06:55.659792,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
14,Old,Old,99.0,27,['Green'],0.63,16:06:36.345368,16:06:57.945652,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
90,Old,Old,225.0,62,"['Aqua', 'Blue']",2.09,16:05:51.346336,16:07:00.080265,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
128,Old,Old,210.6,58,"['Aqua', 'Blue']",0.74,16:05:06.346588,16:07:03.666371,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
36,Old,Old,106.2,29,['Green'],0.92,16:04:06.353216,16:07:05.900339,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
57,Old,Old,171.0,47,['Aqua'],0.63,16:06:31.358796,16:07:08.319958,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
130,New,New,N/A,N/A,N/A,0.82,N/A,16:07:10.453686,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
196,New,New,N/A,N/A,N/A,1.03,N/A,16:07:12.773145,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
148,Old,Old,199.8,55,"['Aqua', 'Blue']",0.62,16:05:11.350739,16:07:15.307503,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
54,Old,Old,239.4,66,['Blue'],0.6,16:04:01.350193,16:07:17.427541,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
89,Old,New,N/A,N/A,N/A,0.65,N/A,16:07:19.527470,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
79,Old,Old,167.4,46,['Aqua'],0.65,16:06:21.351756,16:07:21.678245,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
144,New,New,N/A,N/A,N/A,0.97,N/A,16:07:23.831135,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
12,New,Old,268.2,74,"['Blue', 'Purple']",1.39,16:06:11.360411,16:07:26.298334,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
242,New,New,N/A,N/A,N/A,1.35,N/A,16:07:29.185088,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
83,New,New,N/A,N/A,N/A,1.23,N/A,16:07:32.038410,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
232,Old,Old,145.8,40,"['Green', 'Aqua']",0.8,16:03:01.356472,16:07:34.771710,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
236,Old,Old,347.4,96,"['Red', 'Pink']",0.77,16:04:41.362484,16:07:37.075210,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
147,Old,Old,307.8,85,['Pink'],0.67,16:03:51.359585,16:07:39.341964,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
223,Old,Old,77.4,21,['Green'],0.75,16:03:36.348117,16:07:41.510083,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
17,Old,New,N/A,N/A,N/A,1.65,N/A,16:07:43.762246,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
191,Old,Old,217.8,60,"['Aqua', 'Blue']",0.8,16:02:51.349480,16:07:46.915779,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
234,Old,Old,27.0,7,"['Orange', 'Yellow']",0.9,16:05:16.354237,16:07:49.215998,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
168,Old,Old,261.0,72,"['Blue', 'Purple']",0.72,16:04:56.356090,16:07:51.617375,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
193,New,New,N/A,N/A,N/A,1.72,N/A,16:07:53.836102,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
2,Old,Old,34.2,9,['Yellow'],0.9,16:05:41.356117,16:07:57.056103,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
62,Old,Old,250.2,69,['Blue'],0.93,16:04:36.358192,16:07:59.457017,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
218,Old,Old,81.0,22,['Green'],0.95,16:03:56.362674,16:08:01.893135,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
183,Old,Old,45.0,12,['Yellow'],0.67,16:04:46.348768,16:08:04.343667,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
21,New,New,N/A,N/A,N/A,0.94,N/A,16:08:06.510900,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
185,Old,Old,257.4,71,['Blue'],0.92,16:03:31.361813,16:08:08.947219,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
187,New,New,N/A,N/A,N/A,1.0,N/A,16:08:11.364042,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
74,Old,Old,23.4,6,"['Orange', 'Yellow']",0.73,16:06:46.352347,16:08:13.867342,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
124,Old,Old,315.0,87,['Pink'],0.67,16:03:46.355578,16:08:16.101852,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
60,Old,Old,343.8,95,"['Red', 'Pink']",0.65,16:05:46.358921,16:08:18.270528,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
108,New,New,N/A,N/A,N/A,1.13,N/A,16:08:20.421567,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
141,Old,Old,95.4,26,['Green'],0.67,16:05:26.361659,16:08:23.057245,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
96,Old,Old,73.8,20,"['Yellow', 'Green']",0.63,16:02:46.345486,16:08:25.225140,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
182,New,New,N/A,N/A,N/A,0.93,N/A,16:08:27.361381,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
241,New,New,N/A,N/A,N/A,1.23,N/A,16:08:29.795708,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
51,Old,Old,59.4,16,"['Yellow', 'Green']",0.68,16:05:31.348202,16:08:32.531995,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
10,Old,Old,138.6,38,"['Green', 'Aqua']",0.72,16:03:41.352534,16:08:34.715924,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
212,Old,Old,41.4,11,['Yellow'],0.67,16:06:41.348699,16:08:36.935295,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
239,New,New,N/A,N/A,N/A,0.98,N/A,16:08:39.102302,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
100,Old,Old,286.2,79,"['Purple', 'Pink']",0.63,16:02:56.352723,16:08:41.586690,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
11,Old,Old,203.4,56,"['Aqua', 'Blue']",0.65,16:06:06.356904,16:08:43.722327,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
85,Old,Old,84.6,23,['Green'],0.83,16:04:51.352680,16:08:45.872775,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
138,New,New,N/A,N/A,N/A,1.32,N/A,16:08:48.208852,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
226,New,Old,88.2,24,['Green'],1.04,16:05:01.360182,16:08:51.027027,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
178,New,Old,293.4,81,"['Purple', 'Pink']",1.3,16:04:16.361227,16:08:53.562780,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
110,New,New,N/A,N/A,N/A,0.95,N/A,16:08:56.363675,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
9,Old,Old,189.0,52,"['Aqua', 'Blue']",0.8,16:03:26.357723,16:08:58.816564,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
59,New,New,N/A,N/A,N/A,1.59,N/A,16:09:01.116955,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
16,Old,New,N/A,N/A,N/A,1.42,N/A,16:09:04.203731,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
140,Old,New,N/A,N/A,N/A,1.38,N/A,16:09:07.123591,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
146,New,New,N/A,N/A,N/A,0.99,N/A,16:09:10.007228,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
41,New,New,N/A,N/A,N/A,1.78,N/A,16:09:12.494275,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
82,Old,Old,275.4,76,['Purple'],0.92,16:03:16.350779,16:09:15.778485,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
20,Old,Old,91.8,25,['Green'],0.79,16:03:21.354466,16:09:18.197305,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
213,New,New,N/A,N/A,N/A,0.89,N/A,16:09:20.481372,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
177,New,New,N/A,N/A,N/A,1.33,N/A,16:09:22.867452,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
174,Old,Old,192.6,53,"['Aqua', 'Blue']",0.75,16:02:41.347475,16:09:25.701929,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
7,Old,Old,16.2,4,"['Red', 'Orange']",0.72,16:05:36.351728,16:09:27.954380,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
157,Old,Old,156.6,43,"['Green', 'Aqua']",0.88,16:04:26.350980,16:09:30.172550,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
145,New,New,N/A,N/A,N/A,0.88,N/A,16:09:32.558646,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
63,New,New,N/A,N/A,N/A,1.18,N/A,16:09:34.942504,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
205,Old,Old,297.0,82,['Pink'],0.83,16:04:31.355168,16:09:37.629119,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
35,Old,Old,246.6,68,['Blue'],0.95,16:04:11.357484,16:09:39.962824,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
86,Old,Old,340.2,94,"['Red', 'Pink']",0.65,16:06:26.354521,16:09:42.415894,014,2019_Aug_07_1601,PACOCO,3.1.5,59.941486798115726,
