StimuliName,User_OldOrNew,Correct_OldOrNew,Correct_Image_x,Correct_Image_y,Correct_Color,Correct_Rad#,Correct_AproxColor,OldOrNew_RT,StudyStartTime,OldOrNewStartTime,participant,date,expName,psychopyVersion,frameRate,
229,Old,Old,0.78,0.078,304.2,84,['Pink'],1.77,10:20:41.017629,10:23:35.276902,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
52,Old,Old,0.60667,0.39,23.4,6,"['Orange', 'Yellow']",1.52,10:19:36.019970,10:23:38.547311,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
77,Old,Old,-0.60667,0.39,73.8,20,"['Yellow', 'Green']",8.19,10:19:51.013926,10:23:41.565139,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
25,Old,Old,0.26,0.39,354.6,98,"['Red', 'Orange']",1.5,10:21:16.009362,10:23:51.255598,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
102,Old,Old,0.26,-0.234,106.2,29,['Green'],1.57,10:22:06.011514,10:23:54.257741,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
214,New,New,N/A,N/A,N/A,N/A,N/A,1.37,N/A,10:23:57.326009,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
76,Old,Old,0.08667,0.39,178.2,49,['Aqua'],1.62,10:20:06.008518,10:24:00.195324,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
135,Old,Old,-0.26,-0.078,232.2,64,['Blue'],1.54,10:19:46.010482,10:24:03.313458,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
131,Old,Old,0.08667,-0.39,257.4,71,['Blue'],1.4,10:21:11.006145,10:24:06.348997,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
164,Old,Old,-0.60667,0.078,358.2,99,"['Red', 'Orange']",1.3,10:20:56.011732,10:24:09.251700,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
161,Old,Old,-0.08667,0.234,282.6,78,"['Purple', 'Pink']",1.32,10:20:51.008187,10:24:12.053174,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
36,New,New,N/A,N/A,N/A,N/A,N/A,1.38,N/A,10:24:14.872630,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
62,New,Old,-0.60667,-0.078,189.0,52,"['Aqua', 'Blue']",1.3,10:21:06.018507,10:24:17.757210,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
166,New,New,N/A,N/A,N/A,N/A,N/A,1.29,N/A,10:24:20.559873,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
174,New,New,N/A,N/A,N/A,N/A,N/A,1.49,N/A,10:24:23.343810,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
37,Old,Old,0.78,-0.234,174.6,48,['Aqua'],1.33,10:21:26.016307,10:24:26.331723,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
92,Old,Old,0.60667,0.234,77.4,21,['Green'],1.47,10:22:46.008119,10:24:29.167066,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
40,Old,Old,-0.08667,0.39,16.2,4,"['Red', 'Orange']",1.39,10:22:36.016770,10:24:32.134474,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
55,New,New,N/A,N/A,N/A,N/A,N/A,1.35,N/A,10:24:35.020376,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
221,Old,Old,-0.43333,-0.39,300.6,83,['Pink'],3.64,10:21:41.011235,10:24:37.871704,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
95,New,New,N/A,N/A,N/A,N/A,N/A,1.57,N/A,10:24:43.009167,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
223,Old,Old,-0.78,-0.078,246.6,68,['Blue'],1.54,10:19:21.009580,10:24:46.078577,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
163,New,New,N/A,N/A,N/A,N/A,N/A,1.32,N/A,10:24:49.115239,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
121,New,New,N/A,N/A,N/A,N/A,N/A,1.37,N/A,10:24:51.931806,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
98,Old,Old,0.43333,0.234,196.2,54,"['Aqua', 'Blue']",1.32,10:22:21.006315,10:24:54.801307,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
24,Old,Old,-0.08667,-0.39,203.4,56,"['Aqua', 'Blue']",1.3,10:22:56.014617,10:24:57.620027,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
73,New,Old,0.43333,-0.39,127.8,35,['Green'],4.69,10:19:16.005679,10:25:00.422371,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
104,Old,Old,0.43333,0.078,9.0,2,"['Red', 'Orange']",1.52,10:20:26.023499,10:25:06.609839,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
153,New,New,N/A,N/A,N/A,N/A,N/A,2.39,N/A,10:25:09.629177,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
141,Old,Old,0.08667,0.234,261.0,72,"['Blue', 'Purple']",1.28,10:23:16.012695,10:25:13.516234,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
215,Old,Old,-0.26,-0.234,138.6,38,"['Green', 'Aqua']",1.37,10:21:46.014384,10:25:16.299812,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
120,Old,Old,-0.26,0.078,221.4,61,"['Aqua', 'Blue']",1.27,10:22:11.015287,10:25:19.169014,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
225,Old,Old,-0.26,0.234,318.6,88,['Pink'],1.94,10:20:01.010107,10:25:21.937811,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
228,New,New,N/A,N/A,N/A,N/A,N/A,1.25,N/A,10:25:25.373480,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
165,New,New,N/A,N/A,N/A,N/A,N/A,1.35,N/A,10:25:28.124289,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
71,New,New,N/A,N/A,N/A,N/A,N/A,1.28,N/A,10:25:30.978054,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
139,New,New,N/A,N/A,N/A,N/A,N/A,1.28,N/A,10:25:33.763950,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
114,Old,Old,-0.60667,-0.39,325.8,90,['Pink'],3.69,10:20:11.012062,10:25:36.547407,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
124,New,New,N/A,N/A,N/A,N/A,N/A,1.2,N/A,10:25:41.734634,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
219,New,New,N/A,N/A,N/A,N/A,N/A,1.27,N/A,10:25:44.437595,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
50,New,New,N/A,N/A,N/A,N/A,N/A,1.22,N/A,10:25:47.205913,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
145,New,New,N/A,N/A,N/A,N/A,N/A,1.33,N/A,10:25:49.924768,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
187,New,New,N/A,N/A,N/A,N/A,N/A,1.35,N/A,10:25:52.759488,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
46,Old,Old,0.60667,-0.234,27.0,7,"['Orange', 'Yellow']",1.58,10:21:01.015456,10:25:55.613009,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
185,New,Old,-0.43333,-0.234,268.2,74,"['Blue', 'Purple']",1.27,10:20:46.020985,10:25:58.698785,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
201,New,New,N/A,N/A,N/A,N/A,N/A,1.28,N/A,10:26:01.466098,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
172,Old,Old,-0.08667,-0.234,81.0,22,['Green'],1.32,10:21:56.021804,10:26:04.251824,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
56,New,New,N/A,N/A,N/A,N/A,N/A,1.35,N/A,10:26:07.069645,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
199,New,New,N/A,N/A,N/A,N/A,N/A,1.29,N/A,10:26:09.922364,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
81,Old,Old,0.60667,-0.39,253.8,70,['Blue'],1.27,10:19:56.017941,10:26:12.706607,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
147,New,Old,0.26,-0.078,336.6,93,"['Red', 'Pink']",1.57,10:21:31.020357,10:26:15.475880,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
53,Old,Old,-0.43333,0.39,275.4,76,['Purple'],1.3,10:20:31.009942,10:26:18.546458,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
226,Old,Old,-0.43333,0.078,145.8,40,"['Green', 'Aqua']",1.3,10:20:16.015772,10:26:21.346832,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
31,Old,Old,0.43333,0.39,45.0,12,['Yellow'],1.12,10:23:06.005684,10:26:24.150447,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
142,Old,Old,-0.78,0.234,70.2,19,"['Yellow', 'Green']",1.27,10:19:26.012862,10:26:26.767219,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
116,Old,Old,0.60667,0.078,279.0,77,"['Purple', 'Pink']",1.3,10:21:21.013226,10:26:29.536561,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
107,Old,Old,-0.26,-0.39,30.6,8,"['Orange', 'Yellow']",1.34,10:21:36.007567,10:26:32.338584,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
208,Old,Old,-0.43333,0.234,59.4,16,"['Yellow', 'Green']",1.52,10:23:21.016887,10:26:35.174018,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
97,Old,Old,-0.78,-0.234,340.2,94,"['Red', 'Pink']",1.04,10:22:51.011505,10:26:38.192090,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
23,New,Old,0.26,0.078,343.8,95,"['Red', 'Pink']",1.95,10:22:26.010009,10:26:40.728200,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
38,Old,Old,0.26,-0.39,41.4,11,['Yellow'],1.18,10:23:01.018170,10:26:44.180648,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
106,Old,Old,0.26,0.234,207.0,57,"['Aqua', 'Blue']",1.52,10:22:16.019502,10:26:46.865209,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
118,Old,Old,0.60667,-0.078,84.6,23,['Green'],1.39,10:21:51.018748,10:26:49.884575,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
233,New,New,N/A,N/A,N/A,N/A,N/A,1.62,N/A,10:26:52.769734,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
154,New,New,N/A,N/A,N/A,N/A,N/A,1.33,N/A,10:26:55.889698,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
239,Old,Old,0.08667,-0.234,307.8,85,['Pink'],1.3,10:22:41.020875,10:26:58.724596,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
122,Old,Old,-0.60667,-0.234,243.0,67,['Blue'],1.4,10:22:01.008813,10:27:01.526607,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
27,New,New,N/A,N/A,N/A,N/A,N/A,1.27,N/A,10:27:04.428452,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
110,Old,Old,0.43333,-0.234,289.8,80,"['Purple', 'Pink']",1.29,10:22:31.013045,10:27:07.196308,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
60,Old,Old,0.78,-0.39,250.2,69,['Blue'],1.34,10:19:31.017051,10:27:09.982492,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
191,Old,Old,-0.43333,-0.078,5.4,1,"['Red', 'Orange']",1.25,10:23:11.009547,10:27:12.816962,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
47,New,New,N/A,N/A,N/A,N/A,N/A,1.89,N/A,10:27:15.569865,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
175,Old,Old,-0.60667,0.234,322.2,89,['Pink'],1.27,10:19:41.024484,10:27:18.956895,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
65,Old,Old,0.43333,-0.078,149.4,41,"['Green', 'Aqua']",1.3,10:20:36.013571,10:27:21.724367,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
26,Old,Old,-0.78,-0.39,271.8,75,['Purple'],1.4,10:20:21.020032,10:27:24.526641,002,2019_Jul_31_1017,PACOLOCO,3.1.5,60.00751009138054,
