StimuliName,User_OldOrNew,Correct_OldOrNew,Correct_Color,Correct_Rad#,Correct_AproxColor,OldOrNew_RT,StudyStartTime,OldOrNewStartTime,participant,date,expName,psychopyVersion,frameRate,
31,New,New,N/A,N/A,N/A,9.24,N/A,11:43:57.553309,008,2019_Aug_07_1137,PACOCO,3.1.5,59.5742029155404,
151,New,New,N/A,N/A,N/A,1.22,N/A,11:44:08.293964,008,2019_Aug_07_1137,PACOCO,3.1.5,59.5742029155404,
215,Old,Old,257.4,71,['Blue'],1.12,11:43:47.528822,11:44:11.013864,008,2019_Aug_07_1137,PACOCO,3.1.5,59.5742029155404,
176,Old,Old,106.2,29,['Green'],0.93,11:40:27.534335,11:44:13.631312,008,2019_Aug_07_1137,PACOCO,3.1.5,59.5742029155404,
79,New,New,N/A,N/A,N/A,2.15,N/A,11:44:16.067437,008,2019_Aug_07_1137,PACOCO,3.1.5,59.5742029155404,
158,Old,Old,81.0,22,['Green'],0.99,11:41:27.527828,11:44:19.717926,008,2019_Aug_07_1137,PACOCO,3.1.5,59.5742029155404,
216,New,New,N/A,N/A,N/A,1.67,N/A,11:44:22.204326,008,2019_Aug_07_1137,PACOCO,3.1.5,59.5742029155404,
86,Old,Old,41.4,11,['Yellow'],1.3,11:41:17.537089,11:44:25.372105,008,2019_Aug_07_1137,PACOCO,3.1.5,59.5742029155404,
200,New,Old,99.0,27,['Green'],2.24,11:42:37.527837,11:44:28.174473,008,2019_Aug_07_1137,PACOCO,3.1.5,59.5742029155404,
26,New,New,N/A,N/A,N/A,0.93,N/A,11:44:31.911136,008,2019_Aug_07_1137,PACOCO,3.1.5,59.5742029155404,
212,Old,Old,315.0,87,['Pink'],1.1,11:43:37.525841,11:44:34.345812,008,2019_Aug_07_1137,PACOCO,3.1.5,59.5742029155404,
226,New,New,N/A,N/A,N/A,2.89,N/A,11:44:36.948203,008,2019_Aug_07_1137,PACOCO,3.1.5,59.5742029155404,
229,New,New,N/A,N/A,N/A,0.95,N/A,11:44:41.334859,008,2019_Aug_07_1137,PACOCO,3.1.5,59.5742029155404,
123,Old,Old,160.2,44,"['Green', 'Aqua']",1.07,11:41:12.533395,11:44:43.785897,008,2019_Aug_07_1137,PACOCO,3.1.5,59.5742029155404,
153,New,New,N/A,N/A,N/A,2.72,N/A,11:44:46.355142,008,2019_Aug_07_1137,PACOCO,3.1.5,59.5742029155404,
55,Old,Old,77.4,21,['Green'],1.2,11:43:52.532345,11:44:50.575892,008,2019_Aug_07_1137,PACOCO,3.1.5,59.5742029155404,
242,Old,Old,131.4,36,['Green'],0.83,11:39:57.529390,11:44:53.276716,008,2019_Aug_07_1137,PACOCO,3.1.5,59.5742029155404,
48,Old,Old,5.4,1,"['Red', 'Orange']",0.8,11:42:22.534036,11:44:55.613113,008,2019_Aug_07_1137,PACOCO,3.1.5,59.5742029155404,
172,New,New,N/A,N/A,N/A,0.95,N/A,11:44:57.913521,008,2019_Aug_07_1137,PACOCO,3.1.5,59.5742029155404,
148,New,New,N/A,N/A,N/A,0.99,N/A,11:45:00.363593,008,2019_Aug_07_1137,PACOCO,3.1.5,59.5742029155404,
227,New,New,N/A,N/A,N/A,1.92,N/A,11:45:02.850424,008,2019_Aug_07_1137,PACOCO,3.1.5,59.5742029155404,
196,Old,Old,185.4,51,"['Aqua', 'Blue']",0.97,11:43:02.529531,11:45:06.269376,008,2019_Aug_07_1137,PACOCO,3.1.5,59.5742029155404,
90,New,New,N/A,N/A,N/A,1.08,N/A,11:45:08.741680,008,2019_Aug_07_1137,PACOCO,3.1.5,59.5742029155404,
112,New,Old,297.0,82,['Pink'],0.94,11:41:07.529814,11:45:11.322862,008,2019_Aug_07_1137,PACOCO,3.1.5,59.5742029155404,
132,Old,Old,127.8,35,['Green'],0.75,11:40:52.535651,11:45:13.757559,008,2019_Aug_07_1137,PACOCO,3.1.5,59.5742029155404,
70,Old,Old,347.4,96,"['Red', 'Pink']",1.23,11:41:32.531156,11:45:16.010962,008,2019_Aug_07_1137,PACOCO,3.1.5,59.5742029155404,
46,Old,Old,336.6,93,"['Red', 'Pink']",1.19,11:41:52.529120,11:45:18.744424,008,2019_Aug_07_1137,PACOCO,3.1.5,59.5742029155404,
209,Old,Old,235.8,65,['Blue'],0.69,11:40:37.524848,11:45:21.430461,008,2019_Aug_07_1137,PACOCO,3.1.5,59.5742029155404,
62,Old,Old,282.6,78,"['Purple', 'Pink']",1.05,11:43:27.530806,11:45:23.614298,008,2019_Aug_07_1137,PACOCO,3.1.5,59.5742029155404,
