StimuliName,User_OldOrNew,Correct_OldOrNew,Correct_Image_x,Correct_Image_y,Correct_Color,Correct_Rad#,Correct_AproxColor,OldOrNew_RT,StudyStartTime,OldOrNewStartTime,participant,date,expName,psychopyVersion,frameRate,
69,New,New,N/A,N/A,N/A,N/A,N/A,2.92,N/A,13:21:22.185192,004,2019_Aug_02_1314,PACOLOCO,3.1.5,59.9445521285065,
86,New,New,N/A,N/A,N/A,N/A,N/A,1.15,N/A,13:21:26.622001,004,2019_Aug_02_1314,PACOLOCO,3.1.5,59.9445521285065,
2,Old,Old,0.43333,-0.234,99.0,27,['Green'],1.7,13:21:06.073478,13:21:29.274713,004,2019_Aug_02_1314,PACOLOCO,3.1.5,59.9445521285065,
171,Old,Old,0.60667,0.234,217.8,60,"['Aqua', 'Blue']",1.97,13:17:51.082398,13:21:32.475847,004,2019_Aug_02_1314,PACOLOCO,3.1.5,59.9445521285065,
210,New,New,N/A,N/A,N/A,N/A,N/A,2.34,N/A,13:21:35.945908,004,2019_Aug_02_1314,PACOLOCO,3.1.5,59.9445521285065,
62,Old,Old,-0.78,0.39,12.6,3,"['Red', 'Orange']",1.9,13:20:01.076869,13:21:39.782445,004,2019_Aug_02_1314,PACOLOCO,3.1.5,59.9445521285065,
208,New,New,N/A,N/A,N/A,N/A,N/A,2.15,N/A,13:21:43.185981,004,2019_Aug_02_1314,PACOLOCO,3.1.5,59.9445521285065,
152,Old,New,N/A,N/A,N/A,N/A,N/A,1.8,N/A,13:21:46.836737,004,2019_Aug_02_1314,PACOLOCO,3.1.5,59.9445521285065,
188,Old,Old,-0.60667,0.39,354.6,98,"['Red', 'Orange']",1.67,13:20:56.066512,13:21:50.139792,004,2019_Aug_02_1314,PACOLOCO,3.1.5,59.9445521285065,
115,Old,Old,-0.60667,-0.078,153.0,42,"['Green', 'Aqua']",1.83,13:18:51.076050,13:21:53.310046,004,2019_Aug_02_1314,PACOLOCO,3.1.5,59.9445521285065,
95,Old,Old,-0.43333,-0.078,117.0,32,['Green'],2.97,13:20:36.068510,13:21:56.644231,004,2019_Aug_02_1314,PACOLOCO,3.1.5,59.9445521285065,
122,Old,Old,0.78,-0.078,322.2,89,['Pink'],1.9,13:19:36.076208,13:22:01.113956,004,2019_Aug_02_1314,PACOLOCO,3.1.5,59.9445521285065,
110,New,Old,-0.78,-0.078,23.4,6,"['Orange', 'Yellow']",1.2,13:17:11.068981,13:22:04.517057,004,2019_Aug_02_1314,PACOLOCO,3.1.5,59.9445521285065,
221,Old,Old,0.43333,0.234,214.2,59,"['Aqua', 'Blue']",3.35,13:20:26.076967,13:22:07.218746,004,2019_Aug_02_1314,PACOLOCO,3.1.5,59.9445521285065,
37,Old,New,N/A,N/A,N/A,N/A,N/A,2.47,N/A,13:22:12.071877,004,2019_Aug_02_1314,PACOLOCO,3.1.5,59.9445521285065,
231,Old,Old,0.60667,0.078,207.0,57,"['Aqua', 'Blue']",2.09,13:19:06.070339,13:22:16.041340,004,2019_Aug_02_1314,PACOLOCO,3.1.5,59.9445521285065,
78,Old,Old,-0.78,0.078,275.4,76,['Purple'],1.08,13:21:01.069752,13:22:19.628242,004,2019_Aug_02_1314,PACOLOCO,3.1.5,59.9445521285065,
235,Old,Old,-0.78,0.234,243.0,67,['Blue'],1.25,13:18:11.080697,13:22:22.212593,004,2019_Aug_02_1314,PACOLOCO,3.1.5,59.9445521285065,
