StimuliName,User_OldOrNew,Correct_OldOrNew,Correct_Image_x,Correct_Image_y,OldOrNew_RT,StudyStartTime,OldOrNewStartTime,participant,date,expName,psychopyVersion,frameRate,
12,Old,Old,0.60667,-0.39,1.23,15:52:37.984657,15:53:12.060446,007,2019_Aug_06_1547,PACOLO,3.1.5,60.202147614121124,
32,New,Old,0.60667,0.39,2.94,15:51:27.984561,15:53:14.796010,007,2019_Aug_06_1547,PACOLO,3.1.5,60.202147614121124,
48,New,New,N/A,N/A,1.05,N/A,15:53:19.233925,007,2019_Aug_06_1547,PACOLO,3.1.5,60.202147614121124,
191,Old,Old,0.08667,-0.234,1.0,15:52:27.977356,15:53:21.784493,007,2019_Aug_06_1547,PACOLO,3.1.5,60.202147614121124,
215,New,New,N/A,N/A,1.45,N/A,15:53:24.287181,007,2019_Aug_06_1547,PACOLO,3.1.5,60.202147614121124,
152,New,Old,0.08667,0.234,1.82,15:51:37.990996,15:53:27.237776,007,2019_Aug_06_1547,PACOLO,3.1.5,60.202147614121124,
238,Old,Old,0.26,0.39,1.08,15:52:07.979650,15:53:30.557862,007,2019_Aug_06_1547,PACOLO,3.1.5,60.202147614121124,
160,Old,Old,0.60667,0.234,1.3,15:51:02.983324,15:53:33.141469,007,2019_Aug_06_1547,PACOLO,3.1.5,60.202147614121124,
113,Old,Old,-0.43333,-0.234,1.48,15:48:57.983763,15:53:35.945248,007,2019_Aug_06_1547,PACOLO,3.1.5,60.202147614121124,
26,Old,Old,-0.78,-0.234,1.27,15:51:57.988851,15:53:38.930898,007,2019_Aug_06_1547,PACOLO,3.1.5,60.202147614121124,
164,Old,Old,-0.43333,-0.078,1.32,15:50:52.976385,15:53:41.698582,007,2019_Aug_06_1547,PACOLO,3.1.5,60.202147614121124,
186,Old,Old,0.60667,0.078,1.77,15:51:52.986048,15:53:44.517937,007,2019_Aug_06_1547,PACOLO,3.1.5,60.202147614121124,
168,Old,Old,-0.43333,0.234,2.4,15:49:12.995345,15:53:47.786027,007,2019_Aug_06_1547,PACOLO,3.1.5,60.202147614121124,
65,New,New,N/A,N/A,1.4,N/A,15:53:51.689986,007,2019_Aug_06_1547,PACOLO,3.1.5,60.202147614121124,
151,Old,Old,-0.78,-0.078,1.35,15:51:47.982358,15:53:54.591814,007,2019_Aug_06_1547,PACOLO,3.1.5,60.202147614121124,
213,Old,Old,0.78,-0.078,1.57,15:51:07.986661,15:53:57.443370,007,2019_Aug_06_1547,PACOLO,3.1.5,60.202147614121124,
67,New,New,N/A,N/A,1.17,N/A,15:54:00.513062,007,2019_Aug_06_1547,PACOLO,3.1.5,60.202147614121124,
29,New,Old,0.78,0.234,3.84,15:50:47.989673,15:54:03.180164,007,2019_Aug_06_1547,PACOLO,3.1.5,60.202147614121124,
161,Old,Old,0.08667,-0.39,2.45,15:49:17.999064,15:54:08.518255,007,2019_Aug_06_1547,PACOLO,3.1.5,60.202147614121124,
216,Old,Old,0.43333,-0.39,2.57,15:50:17.990818,15:54:12.471000,007,2019_Aug_06_1547,PACOLO,3.1.5,60.202147614121124,
55,Old,Old,0.43333,0.234,1.35,15:49:47.992001,15:54:16.540963,007,2019_Aug_06_1547,PACOLO,3.1.5,60.202147614121124,
233,Old,Old,0.43333,-0.234,1.43,15:51:42.978103,15:54:19.394246,007,2019_Aug_06_1547,PACOLO,3.1.5,60.202147614121124,
97,Old,Old,-0.60667,0.39,1.79,15:51:22.980675,15:54:22.328802,007,2019_Aug_06_1547,PACOLO,3.1.5,60.202147614121124,
165,Old,Old,-0.60667,-0.39,1.13,15:49:57.994360,15:54:25.614507,007,2019_Aug_06_1547,PACOLO,3.1.5,60.202147614121124,
76,Old,Old,0.43333,0.39,0.9,15:49:52.990989,15:54:28.248570,007,2019_Aug_06_1547,PACOLO,3.1.5,60.202147614121124,
75,Old,Old,0.78,0.078,2.89,15:50:42.986254,15:54:30.651497,007,2019_Aug_06_1547,PACOLO,3.1.5,60.202147614121124,
40,New,New,N/A,N/A,1.05,N/A,15:54:35.038016,007,2019_Aug_06_1547,PACOLO,3.1.5,60.202147614121124,
61,New,New,N/A,N/A,0.98,N/A,15:54:37.588747,007,2019_Aug_06_1547,PACOLO,3.1.5,60.202147614121124,
