StimuliName,User_OldOrNew,Correct_OldOrNew,Correct_Image_x,Correct_Image_y,Correct_Color,Correct_Rad#,Correct_AproxColor,OldOrNew_RT,StudyStartTime,OldOrNewStartTime,participant,date,expName,psychopyVersion,frameRate,
145,Old,Old,-0.26,-0.078,5.4,1,"['Red', 'Orange']",3.7,15:21:20.207882,15:23:22.161875,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
120,Old,New,N/A,N/A,N/A,N/A,N/A,1.43,N/A,15:23:27.365911,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
184,Old,New,N/A,N/A,N/A,N/A,N/A,1.97,N/A,15:23:30.302293,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
81,Old,Old,0.78,0.234,325.8,90,['Pink'],3.1,15:20:30.204316,15:23:33.769304,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
100,New,New,N/A,N/A,N/A,N/A,N/A,1.22,N/A,15:23:38.373515,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
165,New,Old,0.26,-0.078,333.0,92,['Pink'],0.62,15:20:10.207191,15:23:41.092421,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
44,Old,Old,-0.60667,0.234,145.8,40,"['Green', 'Aqua']",1.2,15:19:35.215009,15:23:43.210056,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
183,New,Old,-0.43333,-0.078,23.4,6,"['Orange', 'Yellow']",1.33,15:20:05.220340,15:23:45.912455,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
205,New,Old,0.60667,-0.39,52.2,14,['Yellow'],0.93,15:21:05.213923,15:23:48.746783,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
61,New,New,N/A,N/A,N/A,N/A,N/A,1.43,N/A,15:23:51.183502,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
54,New,New,N/A,N/A,N/A,N/A,N/A,1.0,N/A,15:23:54.117952,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
170,New,Old,-0.26,-0.39,55.8,15,['Yellow'],1.4,15:22:15.214429,15:23:56.620374,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
25,Old,Old,0.78,0.078,264.6,73,"['Blue', 'Purple']",2.7,15:19:50.209560,15:23:59.521560,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
40,Old,New,N/A,N/A,N/A,N/A,N/A,2.32,N/A,15:24:03.724183,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
88,Old,New,N/A,N/A,N/A,N/A,N/A,3.27,N/A,15:24:07.545092,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
32,Old,Old,-0.78,0.078,282.6,78,"['Purple', 'Pink']",1.09,15:21:15.204149,15:24:12.314406,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
173,Old,Old,0.43333,-0.39,127.8,35,['Green'],0.8,15:22:35.212478,15:24:14.901221,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
222,New,New,N/A,N/A,N/A,N/A,N/A,1.0,N/A,15:24:17.201885,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
122,Old,Old,0.43333,0.078,268.2,74,"['Blue', 'Purple']",0.79,15:21:25.211476,15:24:19.702439,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
17,Old,Old,0.43333,-0.234,307.8,85,['Pink'],1.77,15:19:40.217463,15:24:21.988529,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
65,New,New,N/A,N/A,N/A,N/A,N/A,2.4,N/A,15:24:25.258165,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
82,Old,Old,-0.78,-0.234,232.2,64,['Blue'],0.79,15:19:25.208031,15:24:29.159636,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
50,New,Old,0.43333,0.39,196.2,54,"['Aqua', 'Blue']",2.85,15:20:35.208530,15:24:31.445571,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
98,New,New,N/A,N/A,N/A,N/A,N/A,1.07,N/A,15:24:35.798763,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
152,New,New,N/A,N/A,N/A,N/A,N/A,1.4,N/A,15:24:38.367031,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
106,New,Old,0.26,0.234,207.0,57,"['Aqua', 'Blue']",2.12,15:22:55.208996,15:24:41.269342,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
79,Old,Old,0.26,0.078,271.8,75,['Purple'],0.82,15:23:00.213285,15:24:44.889833,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
1,Old,Old,0.08667,0.234,315.0,87,['Pink'],0.73,15:19:10.213693,15:24:47.207256,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
180,Old,Old,0.78,-0.39,73.8,20,"['Yellow', 'Green']",0.77,15:21:30.214313,15:24:49.441333,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
156,New,New,N/A,N/A,N/A,N/A,N/A,0.85,N/A,15:24:51.710062,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
229,Old,Old,-0.08667,-0.234,261.0,72,"['Blue', 'Purple']",0.79,15:21:35.217603,15:24:54.060631,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
148,New,Old,0.43333,-0.078,45.0,12,['Yellow'],1.35,15:21:55.216656,15:24:56.346721,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
154,Old,Old,-0.43333,-0.234,304.2,84,['Pink'],1.64,15:21:50.212978,15:24:59.197466,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
138,New,Old,0.08667,0.39,214.2,59,"['Aqua', 'Blue']",0.85,15:19:20.219981,15:25:02.335071,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
131,Old,Old,-0.60667,0.078,163.8,45,"['Green', 'Aqua']",0.79,15:21:10.216352,15:25:04.684794,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
63,New,New,N/A,N/A,N/A,N/A,N/A,3.69,N/A,15:25:06.970760,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
179,New,New,N/A,N/A,N/A,N/A,N/A,1.28,N/A,15:25:12.158291,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
16,Old,Old,-0.43333,0.234,142.2,39,"['Green', 'Aqua']",0.85,15:21:45.209538,15:25:14.945007,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
4,New,Old,0.78,-0.078,135.0,37,"['Green', 'Aqua']",0.93,15:19:30.210783,15:25:17.294831,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
236,New,New,N/A,N/A,N/A,N/A,N/A,1.29,N/A,15:25:19.729718,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
116,Old,Old,-0.78,0.39,117.0,32,['Green'],0.88,15:20:50.219656,15:25:22.516270,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
133,Old,Old,0.08667,-0.234,41.4,11,['Yellow'],1.17,15:22:05.207047,15:25:24.899687,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
108,New,Old,-0.60667,-0.39,311.4,86,['Pink'],1.75,15:19:05.210409,15:25:27.568899,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
30,New,New,N/A,N/A,N/A,N/A,N/A,1.39,N/A,15:25:30.821717,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
188,New,Old,0.60667,-0.078,124.2,34,['Green'],1.22,15:20:00.216367,15:25:33.707073,018,2019_Sep_03_1515,PACOLOCO,3.1.5,59.98117668809446,
