StimuliName,User_OldOrNew,Correct_OldOrNew,Correct_Image_x,Correct_Image_y,Correct_Color,Correct_Rad#,Correct_AproxColor,OldOrNew_RT,StudyStartTime,OldOrNewStartTime,participant,date,expName,psychopyVersion,frameRate,
19,Old,Old,0.78,-0.39,153.0,42,"['Green', 'Aqua']",0.83,10:16:23.914295,10:18:42.815172,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
109,Old,Old,-0.78,0.234,12.6,3,"['Red', 'Orange']",0.92,10:15:18.917402,10:18:45.150019,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
11,New,Old,-0.60667,0.234,23.4,6,"['Orange', 'Yellow']",0.95,10:15:33.911348,10:18:47.569724,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
173,Old,Old,-0.60667,-0.234,163.8,45,"['Green', 'Aqua']",1.07,10:16:03.921049,10:18:50.019480,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
106,New,Old,-0.43333,-0.234,217.8,60,"['Aqua', 'Blue']",1.23,10:13:58.909427,10:18:52.590086,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
222,New,New,N/A,N/A,N/A,N/A,N/A,1.53,N/A,10:18:55.323687,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
85,New,New,N/A,N/A,N/A,N/A,N/A,1.02,N/A,10:18:58.359980,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
35,Old,New,N/A,N/A,N/A,N/A,N/A,1.8,N/A,10:19:00.877927,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
230,Old,Old,-0.43333,0.39,167.4,46,['Aqua'],0.9,10:16:48.915255,10:19:04.180622,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
54,New,New,N/A,N/A,N/A,N/A,N/A,0.92,N/A,10:19:06.581321,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
194,New,New,N/A,N/A,N/A,N/A,N/A,1.22,N/A,10:19:09.000603,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
66,New,Old,0.60667,0.078,156.6,43,"['Green', 'Aqua']",1.17,10:13:23.917311,10:19:11.718680,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
146,New,New,N/A,N/A,N/A,N/A,N/A,0.83,N/A,10:19:14.388200,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
136,New,Old,0.43333,-0.078,5.4,1,"['Red', 'Orange']",1.27,10:14:53.916016,10:19:16.721636,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
89,Old,Old,-0.26,-0.078,351.0,97,['Red'],0.83,10:13:18.913790,10:19:19.491666,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
224,New,New,N/A,N/A,N/A,N/A,N/A,1.15,N/A,10:19:21.825734,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
121,New,New,N/A,N/A,N/A,N/A,N/A,1.43,N/A,10:19:24.478590,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
84,Old,Old,-0.26,0.078,275.4,76,['Purple'],1.03,10:15:53.909367,10:19:27.414575,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
196,New,New,N/A,N/A,N/A,N/A,N/A,0.99,N/A,10:19:29.948751,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
33,New,Old,-0.78,-0.078,41.4,11,['Yellow'],0.98,10:16:43.911794,10:19:32.435604,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
1,Old,Old,-0.60667,-0.078,207.0,57,"['Aqua', 'Blue']",0.77,10:14:23.911022,10:19:34.919678,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
144,New,New,N/A,N/A,N/A,N/A,N/A,0.88,N/A,10:19:37.189002,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
88,New,Old,-0.43333,0.078,106.2,29,['Green'],1.32,10:15:13.913643,10:19:39.572876,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
112,Old,Old,0.78,0.234,34.2,9,['Yellow'],0.9,10:15:08.910087,10:19:42.392582,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
130,New,New,N/A,N/A,N/A,N/A,N/A,1.02,N/A,10:19:44.792860,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
227,New,New,N/A,N/A,N/A,N/A,N/A,1.42,N/A,10:19:47.312819,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
206,New,New,N/A,N/A,N/A,N/A,N/A,1.28,N/A,10:19:50.230391,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
32,Old,Old,0.08667,0.39,250.2,69,['Blue'],0.78,10:13:08.923152,10:19:53.016046,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
160,New,New,N/A,N/A,N/A,N/A,N/A,0.8,N/A,10:19:55.300432,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
127,Old,New,N/A,N/A,N/A,N/A,N/A,0.88,N/A,10:19:57.603642,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
131,New,Old,0.26,-0.39,63.0,17,"['Yellow', 'Green']",1.23,10:14:48.912063,10:19:59.987832,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
16,Old,Old,0.43333,0.078,9.0,2,"['Red', 'Orange']",0.77,10:14:13.920318,10:20:02.724973,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
9,New,Old,0.08667,0.234,235.8,65,['Blue'],0.87,10:15:48.905677,10:20:04.990814,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
197,Old,Old,-0.60667,0.078,48.6,13,['Yellow'],0.79,10:12:58.916000,10:20:07.359697,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
116,New,Old,0.60667,-0.078,138.6,38,"['Green', 'Aqua']",1.23,10:15:28.907311,10:20:09.644018,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
153,Old,Old,0.78,0.39,343.8,95,"['Red', 'Pink']",0.92,10:14:58.919474,10:20:12.380976,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
21,Old,Old,0.26,0.078,102.6,28,['Green'],1.02,10:12:53.912642,10:20:14.798327,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
63,New,Old,0.78,-0.078,91.8,25,['Green'],1.47,10:13:38.911727,10:20:17.317841,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
53,New,New,N/A,N/A,N/A,N/A,N/A,0.97,N/A,10:20:20.285186,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
221,Old,Old,-0.78,0.078,181.8,50,"['Aqua', 'Blue']",1.0,10:12:48.908681,10:20:22.755119,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
31,New,Old,0.43333,0.39,52.2,14,['Yellow'],1.18,10:13:48.918956,10:20:25.255184,017,2019_Aug_09_1008,PACOLOCO,3.1.5,60.14060150746429,
