StimuliName,User_OldOrNew,Correct_OldOrNew,Correct_Color,Correct_Rad#,Correct_AproxColor,OldOrNew_RT,StudyStartTime,OldOrNewStartTime,participant,date,expName,psychopyVersion,frameRate,
185,Old,Old,322.2,89,['Pink'],1.54,15:29:55.748553,15:32:43.905830,006,2019_Aug_06_1526,PACOCO,3.1.5,59.916101998847914,
141,New,Old,27.0,7,"['Orange', 'Yellow']",3.4,15:30:40.747369,15:32:46.940073,006,2019_Aug_06_1526,PACOCO,3.1.5,59.916101998847914,
84,Old,Old,117.0,32,['Green'],1.33,15:30:50.739676,15:32:51.844296,006,2019_Aug_06_1526,PACOCO,3.1.5,59.916101998847914,
95,New,New,N/A,N/A,N/A,1.25,N/A,15:32:54.680380,006,2019_Aug_06_1526,PACOCO,3.1.5,59.916101998847914,
242,Old,Old,315.0,87,['Pink'],2.08,15:30:05.738738,15:32:57.431664,006,2019_Aug_06_1526,PACOCO,3.1.5,59.916101998847914,
205,Old,Old,1.8,0,"['Red', 'Orange']",1.84,15:28:25.616318,15:33:01.017696,006,2019_Aug_06_1526,PACOCO,3.1.5,59.916101998847914,
209,New,New,N/A,N/A,N/A,1.23,N/A,15:33:04.353974,006,2019_Aug_06_1526,PACOCO,3.1.5,59.916101998847914,
221,Old,Old,336.6,93,"['Red', 'Pink']",2.34,15:32:25.741704,15:33:07.089098,006,2019_Aug_06_1526,PACOCO,3.1.5,59.916101998847914,
123,Old,Old,271.8,75,['Purple'],1.74,15:31:50.749109,15:33:10.925259,006,2019_Aug_06_1526,PACOCO,3.1.5,59.916101998847914,
17,Old,Old,70.2,19,"['Yellow', 'Green']",2.07,15:31:05.749529,15:33:14.161202,006,2019_Aug_06_1526,PACOCO,3.1.5,59.916101998847914,
18,Old,Old,189.0,52,"['Aqua', 'Blue']",1.09,15:30:20.733596,15:33:17.729587,006,2019_Aug_06_1526,PACOCO,3.1.5,59.916101998847914,
2,New,New,N/A,N/A,N/A,2.24,N/A,15:33:20.315867,006,2019_Aug_06_1526,PACOCO,3.1.5,59.916101998847914,
226,Old,Old,264.6,73,"['Blue', 'Purple']",1.82,15:31:15.739877,15:33:24.052079,006,2019_Aug_06_1526,PACOCO,3.1.5,59.916101998847914,
188,Old,Old,181.8,50,"['Aqua', 'Blue']",3.25,15:30:15.746502,15:33:27.370039,006,2019_Aug_06_1526,PACOCO,3.1.5,59.916101998847914,
57,Old,Old,210.6,58,"['Aqua', 'Blue']",1.79,15:30:55.742458,15:33:32.123235,006,2019_Aug_06_1526,PACOCO,3.1.5,59.916101998847914,
46,New,New,N/A,N/A,N/A,0.98,N/A,15:33:35.415450,006,2019_Aug_06_1526,PACOCO,3.1.5,59.916101998847914,
140,New,New,N/A,N/A,N/A,1.12,N/A,15:33:37.896514,006,2019_Aug_06_1526,PACOCO,3.1.5,59.916101998847914,
74,Old,Old,178.2,49,['Aqua'],0.88,15:30:10.742890,15:33:40.514045,006,2019_Aug_06_1526,PACOCO,3.1.5,59.916101998847914,
87,New,New,N/A,N/A,N/A,1.0,N/A,15:33:42.900155,006,2019_Aug_06_1526,PACOCO,3.1.5,59.916101998847914,
