StimuliName,User_OldOrNew,Correct_OldOrNew,Correct_Color,Correct_Rad#,Correct_AproxColor,OldOrNew_RT,StudyStartTime,OldOrNewStartTime,participant,date,expName,psychopyVersion,frameRate,
8,New,New,N/A,N/A,N/A,6.04,N/A,13:16:39.663515,999,2019_Aug_30_1315,PACOCO,3.1.5,60.122606347900195,
84,Old,Old,88.2,24,['Green'],4.15,13:16:25.710944,13:16:47.197391,999,2019_Aug_30_1315,PACOCO,3.1.5,60.122606347900195,
195,New,New,N/A,N/A,N/A,3.8,N/A,13:16:52.847948,999,2019_Aug_30_1315,PACOCO,3.1.5,60.122606347900195,
77,Old,Old,311.4,86,['Pink'],1.72,13:16:15.710673,13:16:58.148384,999,2019_Aug_30_1315,PACOCO,3.1.5,60.122606347900195,
111,Old,Old,217.8,60,"['Aqua', 'Blue']",2.82,13:16:05.710006,13:17:01.365458,999,2019_Aug_30_1315,PACOCO,3.1.5,60.122606347900195,
139,Old,Old,91.8,25,['Green'],5.64,13:16:20.710595,13:17:05.682587,999,2019_Aug_30_1315,PACOCO,3.1.5,60.122606347900195,
17,Old,Old,81.0,22,['Green'],2.79,13:16:10.710278,13:17:12.816573,999,2019_Aug_30_1315,PACOCO,3.1.5,60.122606347900195,
