StimuliName,User_OldOrNew,Correct_OldOrNew,Correct_Image_x,Correct_Image_y,Correct_Color,Correct_Rad#,Correct_AproxColor,OldOrNew_RT,StudyStartTime,OldOrNewStartTime,participant,date,expName,psychopyVersion,frameRate,
207,Old,Old,-0.43333,0.078,99.0,27,['Green'],2.32,13:07:33.078925,13:10:03.921825,005,2019_Aug_06_1302,PACOLOCO,3.1.5,60.15164446114345,
223,Old,Old,0.08667,0.39,203.4,56,"['Aqua', 'Blue']",0.87,13:08:48.067257,13:10:07.740902,005,2019_Aug_06_1302,PACOLOCO,3.1.5,60.15164446114345,
4,New,Old,-0.60667,0.39,30.6,8,"['Orange', 'Yellow']",1.02,13:05:53.088326,13:10:10.110367,005,2019_Aug_06_1302,PACOLOCO,3.1.5,60.15164446114345,
242,Old,Old,0.78,0.078,34.2,9,['Yellow'],0.93,13:05:43.081400,13:10:12.628187,005,2019_Aug_06_1302,PACOLOCO,3.1.5,60.15164446114345,
122,Old,Old,0.26,-0.078,271.8,75,['Purple'],0.68,13:07:28.075369,13:10:15.064282,005,2019_Aug_06_1302,PACOLOCO,3.1.5,60.15164446114345,
205,Old,Old,0.78,0.234,232.2,64,['Blue'],0.7,13:05:13.075460,13:10:17.247730,005,2019_Aug_06_1302,PACOLOCO,3.1.5,60.15164446114345,
109,Old,Old,0.26,-0.39,5.4,1,"['Red', 'Orange']",1.84,13:06:18.089626,13:10:19.448314,005,2019_Aug_06_1302,PACOLOCO,3.1.5,60.15164446114345,
73,New,New,N/A,N/A,N/A,N/A,N/A,0.93,N/A,13:10:22.784498,005,2019_Aug_06_1302,PACOLOCO,3.1.5,60.15164446114345,
128,New,New,N/A,N/A,N/A,N/A,N/A,1.6,N/A,13:10:25.220905,005,2019_Aug_06_1302,PACOLOCO,3.1.5,60.15164446114345,
55,Old,Old,-0.78,-0.078,340.2,94,"['Red', 'Pink']",0.7,13:07:23.088012,13:10:28.321828,005,2019_Aug_06_1302,PACOLOCO,3.1.5,60.15164446114345,
171,Old,Old,-0.60667,-0.078,167.4,46,['Aqua'],0.67,13:07:43.085624,13:10:30.524270,005,2019_Aug_06_1302,PACOLOCO,3.1.5,60.15164446114345,
156,New,New,N/A,N/A,N/A,N/A,N/A,1.72,N/A,13:10:32.692516,005,2019_Aug_06_1302,PACOLOCO,3.1.5,60.15164446114345,
237,New,Old,0.26,0.234,102.6,28,['Green'],0.83,13:07:18.084434,13:10:35.911325,005,2019_Aug_06_1302,PACOLOCO,3.1.5,60.15164446114345,
231,New,Old,0.26,0.39,149.4,41,"['Green', 'Aqua']",0.85,13:08:43.067263,13:10:38.245543,005,2019_Aug_06_1302,PACOLOCO,3.1.5,60.15164446114345,
