StimuliName,User_OldOrNew,Correct_OldOrNew,Correct_Image_x,Correct_Image_y,Correct_Color,Correct_Rad#,Correct_AproxColor,OldOrNew_RT,StudyStartTime,OldOrNewStartTime,participant,date,expName,psychopyVersion,frameRate,
214,Old,Old,0.26,0.078,253.8,70,['Blue'],1.95,12:48:01.621131,12:48:29.925860,010,2019_Aug_07_1240,PACOLOCO,3.1.5,59.904656586457925,
208,Old,Old,0.60667,0.078,189.0,52,"['Aqua', 'Blue']",0.93,12:45:06.627389,12:48:33.379325,010,2019_Aug_07_1240,PACOLOCO,3.1.5,59.904656586457925,
186,Old,Old,0.26,-0.078,311.4,86,['Pink'],1.19,12:46:06.625908,12:48:35.812714,010,2019_Aug_07_1240,PACOLOCO,3.1.5,59.904656586457925,
161,New,New,N/A,N/A,N/A,N/A,N/A,1.15,N/A,12:48:38.499674,010,2019_Aug_07_1240,PACOLOCO,3.1.5,59.904656586457925,
8,New,New,N/A,N/A,N/A,N/A,N/A,1.15,N/A,12:48:41.149982,010,2019_Aug_07_1240,PACOLOCO,3.1.5,59.904656586457925,
48,Old,Old,-0.43333,-0.39,235.8,65,['Blue'],1.12,12:45:36.632689,12:48:43.803656,010,2019_Aug_07_1240,PACOLOCO,3.1.5,59.904656586457925,
60,New,New,N/A,N/A,N/A,N/A,N/A,1.02,N/A,12:48:46.420816,010,2019_Aug_07_1240,PACOLOCO,3.1.5,59.904656586457925,
172,Old,Old,-0.08667,-0.39,145.8,40,"['Green', 'Aqua']",0.9,12:47:01.627623,12:48:48.940487,010,2019_Aug_07_1240,PACOLOCO,3.1.5,59.904656586457925,
227,New,New,N/A,N/A,N/A,N/A,N/A,1.14,N/A,12:48:51.340243,010,2019_Aug_07_1240,PACOLOCO,3.1.5,59.904656586457925,
23,Old,Old,0.43333,0.078,178.2,49,['Aqua'],1.0,12:45:11.631677,12:48:53.977496,010,2019_Aug_07_1240,PACOLOCO,3.1.5,59.904656586457925,
192,Old,Old,-0.26,0.234,289.8,80,"['Purple', 'Pink']",2.4,12:44:56.625180,12:48:56.478087,010,2019_Aug_07_1240,PACOLOCO,3.1.5,59.904656586457925,
57,Old,Old,0.08667,-0.234,163.8,45,"['Green', 'Aqua']",0.99,12:48:11.628924,12:49:00.380662,010,2019_Aug_07_1240,PACOLOCO,3.1.5,59.904656586457925,
54,New,Old,-0.60667,-0.39,27.0,7,"['Orange', 'Yellow']",2.82,12:46:51.620924,12:49:02.865480,010,2019_Aug_07_1240,PACOLOCO,3.1.5,59.904656586457925,
87,New,New,N/A,N/A,N/A,N/A,N/A,0.72,N/A,12:49:07.185391,010,2019_Aug_07_1240,PACOLOCO,3.1.5,59.904656586457925,
163,New,New,N/A,N/A,N/A,N/A,N/A,0.83,N/A,12:49:09.403932,010,2019_Aug_07_1240,PACOLOCO,3.1.5,59.904656586457925,
73,New,New,N/A,N/A,N/A,N/A,N/A,1.18,N/A,12:49:11.738362,010,2019_Aug_07_1240,PACOLOCO,3.1.5,59.904656586457925,
30,Old,Old,0.26,-0.234,41.4,11,['Yellow'],0.95,12:44:51.634302,12:49:14.424488,010,2019_Aug_07_1240,PACOLOCO,3.1.5,59.904656586457925,
187,Old,Old,0.26,0.39,221.4,61,"['Aqua', 'Blue']",0.79,12:44:36.622805,12:49:16.875371,010,2019_Aug_07_1240,PACOLOCO,3.1.5,59.904656586457925,
133,New,New,N/A,N/A,N/A,N/A,N/A,1.27,N/A,12:49:19.161272,010,2019_Aug_07_1240,PACOLOCO,3.1.5,59.904656586457925,
51,New,New,N/A,N/A,N/A,N/A,N/A,1.27,N/A,12:49:21.929441,010,2019_Aug_07_1240,PACOLOCO,3.1.5,59.904656586457925,
